FUELANNUAL	HSVAL	GOR_DV	YEAR	HHSIZE	HHTYPE_DV	HSBEDS	TENURE_DV	NEMP_DV	NKIDS_DV	NPENS_DV	NUE_DV	LKMOVE	XPMOVE	FIHHMNGRS_DV	FIYRDIC_DV	FINNOW	FINFUT	SAVE	JBSTAT	SF1	RACEL_DV	BIRTHY	SEX	NCARS	ENVHABIT1_A	ENVHABIT3_A	ENVHABIT4_A	ENVHABIT6_A	ENVHABIT8_A	FUELDUEL	HEATCH	HHEAT	AGE	REGION	LONDON	LAT	LONG	NSAMPLES	T.FUEL	T.HVAL	T.HHINCOME	T.HHSAV
1530	85e3	1	2011	3	3 or more adults, no children, incl. at least one couple	2	Owned with mortgage	2	0	1	1	Wants to stay	Not expecting to move	1933.33	0	3	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1949	Female	2	1	1	4	1	1	Separate	Some form of central heating	Yes	62	North East	Not London	55.01955266	-1.90526457	111	0.9169091748587359	0.893262380272385	0.7726594844001144	0.5117662727140687
1530	85e3	1	2011	3	3 or more adults, no children, incl. at least one couple	2	Owned with mortgage	2	0	1	1	Wants to move	Not expecting to move	1933.33	0	2	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1975	Female	2	1	1	1	3	1	Separate	Some form of central heating	Yes	36	North East	Not London	55.01955266	-1.90526457	111	0.9169091748587359	0.893262380272385	0.7726594844001144	0.5117662727140687
480	12e4	1	2011	1	1 female, age 60+, no children	2	Owned outright	0	0	1	1	Wants to move	Not expecting to move	1152	0	1	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1937	Female	1	4	4	3	4	1	Separate	Some form of central heating	Yes	74	North East	Not London	55.01955266	-1.90526457	111	0.8630868338389637	0.9006957705021716	0.7598524912461772	0.5117662727140687
1360	2e5	1	2011	1	1 female, age 60+, no children	4	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	990.016	138.165771484375	2	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1928	Female	0	5	5	4	3	1	One bill	Some form of central heating	Yes	83	North East	Not London	55.01955266	-1.90526457	111	0.9097256022007684	0.9152191456659423	0.7569503115062819	0.5343909092852502
1800	5e5	1	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to move	Not expecting to move	1872.9	138.165771484375	3	3	No monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	1	5	2	4	3	2	One bill	Some form of central heating	Yes	67	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9525602216486835	0.7717320453503702	0.5343909092852502
960	175e3	1	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	1	2	Wants to stay	Not expecting to move	850.5	50	3	1	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1948	Female	2	5	1	5	3	1	One bill	Some form of central heating	No	63	North East	Not London	55.01955266	-1.90526457	111	0.8908187738411418	0.9109931687237106	0.7543725938614512	0.5206740901984966
735	125e3	1	2011	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	895.216	262.5853576660156	2	3	Monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Female	1	5	5	5	4	1	Separate	Some form of central heating	Yes	64	North East	Not London	55.01955266	-1.90526457	111	0.878642920538109	0.9016965273282513	0.7552069215558529	0.5505804238401865
1620	235e3	1	2011	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	4842.5	300	2	2	Monthly savings	In paid employment (full or part-time)	2	Any Other White Background (White)	1962	Female	2	1	5	4	4	0	Separate	Some form of central heating	Yes	49	North East	Not London	55.01955266	-1.90526457	111	0.9205386537275946	0.9207400667542301	0.8086973628618835	0.5548949588572321
1620	235e3	1	2011	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	4842.5	200	2	3	Monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1950	Male	2	1	5	3	3	1	Separate	Some form of central heating	Yes	61	North East	Not London	55.01955266	-1.90526457	111	0.9205386537275946	0.9207400667542301	0.8086973628618835	0.5428269044413244
1620	235e3	1	2011	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to stay	Expect moving	4842.5	50	2	1	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Male	2	1	5	3	1	2	Separate	Some form of central heating	Yes	18	North East	Not London	55.01955266	-1.90526457	111	0.9205386537275946	0.9207400667542301	0.8086973628618835	0.5206740901984966
